Course;Type;Room;Timeslot;Day
Advanced Heuristics;lecture;A1.04;9:00 - 11:00;Monday
Advanced Heuristics;practical;A1.06;9:00 - 11:00;Monday
Algoritmen en complexiteit;lecture;A1.08;9:00 - 11:00;Monday
Algoritmen en complexiteit;tutorial;A1.10;9:00 - 11:00;Monday
Algoritmen en complexiteit;practical;B0.201;9:00 - 11:00;Monday
Analysemethoden en -technieken;lecture;C0.110;9:00 - 11:00;Monday
Architectuur en computerorganisatie;lecture;C1.112;9:00 - 11:00;Monday
Architectuur en computerorganisatie;lecture;A1.04;11:00 - 13:00;Monday
Autonomous Agents 2;lecture;A1.06;11:00 - 13:00;Monday
Autonomous Agents 2;lecture;A1.08;11:00 - 13:00;Monday
Autonomous Agents 2;tutorial;A1.10;11:00 - 13:00;Monday
Autonomous Agents 2;practical;B0.201;11:00 - 13:00;Monday
Bioinformatica;lecture;C0.110;11:00 - 13:00;Monday
Bioinformatica;lecture;C1.112;11:00 - 13:00;Monday
Bioinformatica;lecture;A1.04;13:00 - 15:00;Monday
Bioinformatica;tutorial;A1.06;13:00 - 15:00;Monday
Bioinformatica;practical;A1.08;13:00 - 15:00;Monday
Calculus 2;lecture;A1.10;13:00 - 15:00;Monday
Calculus 2;tutorial;B0.201;13:00 - 15:00;Monday
Collectieve Intelligentie;lecture;C0.110;13:00 - 15:00;Monday
Collectieve Intelligentie;lecture;C1.112;13:00 - 15:00;Tuesday
Collectieve Intelligentie;lecture;A1.04;15:00 - 17:00;Tuesday
Collectieve Intelligentie;tutorial;A1.06;15:00 - 17:00;Tuesday
Collectieve Intelligentie;practical;A1.08;15:00 - 17:00;Tuesday
Compilerbouw;lecture;A1.10;15:00 - 17:00;Tuesday
Compilerbouw;lecture;B0.201;15:00 - 17:00;Tuesday
Compilerbouw;tutorial;C0.110;15:00 - 17:00;Tuesday
Compilerbouw;practical;C1.112;15:00 - 17:00;Tuesday
Compilerbouw (practicum);practical;A1.04;9:00 - 11:00;Tuesday
Data Mining;lecture;A1.06;9:00 - 11:00;Tuesday
Data Mining;lecture;A1.08;9:00 - 11:00;Tuesday
Data Mining;tutorial;A1.10;9:00 - 11:00;Tuesday
Data Mining;practical;B0.201;9:00 - 11:00;Tuesday
Databases 2;lecture;C0.110;9:00 - 11:00;Tuesday
Databases 2;tutorial;C1.112;9:00 - 11:00;Tuesday
Heuristieken 1;lecture;A1.04;11:00 - 13:00;Tuesday
Heuristieken 1;tutorial;A1.06;11:00 - 13:00;Tuesday
Heuristieken 2;lecture;A1.08;11:00 - 13:00;Tuesday
